SIP	DIP	SPORT	DPORT	PROTO	TGH	AVG	MAX	TOTAL	WIRE	#PKTS	FIRST	LAST	INTERARRIVAL	DUR
252.103.119.187	252.103.119.36	2499	55434	6	0	0	195	229340204	509223338	5183021	2018-09-21 14:03:04.347866	2018-09-28 15:03:05.236536	116	608400888
252.103.119.36	252.103.119.187	55434	2499	6	0	0	726	81267351	215967489	2494447	2018-09-21 14:03:04.348010	2018-09-28 15:03:05.230798	243	608400882
252.103.119.173	252.103.119.156	3106	102	6	0	0	103	69540386	141819224	1338497	2018-09-21 14:03:04.560636	2018-09-28 15:03:04.952090	454	608400391
252.103.119.156	252.103.119.173	102	3106	6	0	0	201	123626500	199377592	1402798	2018-09-21 14:03:04.573665	2018-09-28 15:03:04.960897	433	608400387
252.103.119.36	252.103.120.7	135	49176	6	0	0	152	17185540	23294326	113125	2018-09-21 14:03:04.631535	2018-09-28 15:03:03.168646	5377	608398537
252.103.119.36	252.103.120.7	49885	62811	6	0	0	1076	11871508	12467344	11034	2018-09-21 14:03:04.633338	2018-09-22 06:00:14.518040	5204	57429884
252.103.119.36	252.103.120.20	50000	49187	6	0	0	2920	614792754	696062376	1504993	2018-09-21 14:03:04.729893	2018-09-28 15:03:05.053985	403	608400324
252.103.119.36	252.103.120.30	50000	53577	6	0	0	2920	180900754	213136324	596955	2018-09-21 14:03:04.901944	2018-09-24 16:15:06.083928	446	267121181
252.103.119.36	252.103.119.185	50000	49171	6	0	0	810	355646710	450784882	1761818	2018-09-21 14:03:05.004401	2018-09-28 15:03:05.059913	344	608400055
252.103.119.36	252.103.120.20	50000	49185	6	0	0	2551	406960385	481152173	1373922	2018-09-21 14:03:05.004796	2018-09-28 15:03:05.048361	442	608400043
252.103.119.185	252.103.119.36	49171	50000	6	0	0	19	312882	67026642	1235440	2018-09-21 14:03:05.005192	2018-09-28 15:03:05.060306	491	608400055
252.103.119.36	252.103.119.175	50000	49167	6	0	0	3343	378048093	448695483	1308285	2018-09-21 14:03:05.006470	2018-09-28 15:03:05.060896	464	608400054
252.103.119.36	252.103.120.7	50000	49173	6	0	0	800	63599864	81758360	336268	2018-09-21 14:03:05.006475	2018-09-28 15:03:04.051573	1808	608399045
252.103.119.175	252.103.119.36	49167	50000	6	0	0	2254	1092716	42475358	766341	2018-09-21 14:03:05.008808	2018-09-28 15:03:05.061292	793	608400052
252.103.119.36	252.103.120.20	135	49191	6	0	0	152	17745272	24052796	116806	2018-09-21 14:03:05.933527	2018-09-28 15:03:01.018512	5208	608395084
252.103.119.36	252.103.120.20	49885	55282	6	0	0	1076	11870432	12466214	11033	2018-09-21 14:03:05.936210	2018-09-22 06:00:14.518149	5205	57428581
252.103.119.175	252.103.119.36	49175	135	6	0	0	156	18227976	30546888	228128	2018-09-21 14:03:06.063014	2018-09-28 15:03:03.359456	2666	608397296
252.103.119.36	252.103.119.175	135	49175	6	0	0	152	17751768	24061506	116847	2018-09-21 14:03:06.063372	2018-09-28 15:03:03.143895	5206	608397080
252.103.119.175	252.103.119.36	53024	49885	6	0	0	1083	11946573	13109625	21538	2018-09-21 14:03:06.064359	2018-09-22 06:00:11.407252	2665	57425342
252.103.119.36	252.103.119.175	49885	53024	6	0	0	1076	11870432	12466214	11033	2018-09-21 14:03:06.065962	2018-09-22 06:00:14.518266	5205	57428452
252.103.119.36	252.103.120.30	135	53580	6	0	0	152	7790408	10559366	51277	2018-09-21 14:03:06.823220	2018-09-24 16:15:00.829215	5208	267114005
252.103.119.36	252.103.120.30	49885	53581	6	0	0	1076	11871508	12467344	11034	2018-09-21 14:03:06.825546	2018-09-22 06:00:14.518430	5204	57427692
252.103.119.36	252.103.120.18	56994	2499	6	0	0	140	282146	8300606	148490	2018-09-21 14:03:07.199455	2018-09-28 15:03:01.007485	4096	608393808
252.103.119.185	252.103.119.36	49175	135	6	0	0	156	18232500	30554382	228183	2018-09-21 14:03:07.235040	2018-09-28 15:03:04.815375	2665	608397580
252.103.119.36	252.103.119.185	135	49175	6	0	0	152	17755960	24067156	116874	2018-09-21 14:03:07.235495	2018-09-28 15:03:04.615934	5205	608397380
252.103.119.185	252.103.119.36	63260	49885	6	0	0	1083	11947656	13110762	21539	2018-09-21 14:03:07.236774	2018-09-22 06:00:11.533249	2665	57424296
252.103.119.36	252.103.119.185	49885	63260	6	0	0	1076	11871508	12467344	11034	2018-09-21 14:03:07.237380	2018-09-22 06:00:14.518136	5204	57427280
252.103.119.36	252.103.120.20	135	49201	6	0	0	152	17741936	24048056	116780	2018-09-21 14:03:07.572105	2018-09-28 15:03:02.770893	5209	608395198
